признак,группа,что считает,в_модели,люди_медиана,пойманные_медиана,непойманные_медиана,люди_среднее,пойманные_среднее,непойманные_среднее,AUC_непойманные_против_людей,AUC_пойманные_против_людей,потеря_AUC,непойманные_ближе,пропусков_доля
sess_events_max,Как дышал,самая длинная сессия по числу событий,да,7.0,16.0,8.0,9.2256,20.373,9.1487,0.5175,0.7781,0.2607,к людям,0.0
night_frac,Как дышал,доля событий в часы 0-5,да,0.0,0.0,0.0,0.135,0.2425,0.1754,0.5158,0.5747,0.0589,поровну,0.0
plat_frac_android,Чем заходил,доля событий с Android,да,0.0,0.0,0.0,0.4229,0.2587,0.4535,0.5153,0.4179,-0.0974,поровну,0.0
ua_os_android,Чем заходил,флаг Android,да,0.0,0.0,0.0,0.4229,0.2587,0.4535,0.5153,0.4179,-0.0974,поровну,0.0
contact_per_view,Сколько наследил,контактов на одну карточку,да,0.0,0.0253,0.0357,0.1889,0.1827,0.2271,0.5153,0.4869,-0.0284,к пойманным ботам,0.0
cnt_seller_page_view,Сколько наследил,заходов на страницу продавца,да,0.0,2.0,1.0,0.8953,2.0746,0.9517,0.5128,0.6865,0.1736,поровну,0.0
null_frac_search_query,НОВОЕ: пустоты в полях,доля событий без поискового запроса,нет,0.7,0.6433,0.7059,0.6915,0.6523,0.7073,0.5124,0.4003,-0.1121,к людям,0.0
null_frac_search_page,НОВОЕ: пустоты в полях,доля событий без номера страницы,нет,0.7,0.6433,0.7059,0.6915,0.6523,0.7073,0.5124,0.4003,-0.1121,к людям,0.0
is_weekend,НОВОЕ: где кука сидит в сутках,флаг выходного дня,нет,0.0,0.0,0.0,0.266,0.2587,0.2862,0.5101,0.4964,-0.0138,поровну,0.0
cnt_contact_chat_open,Сколько наследил,открытий чата,да,0.0,0.0,0.0,0.334,0.454,0.3346,0.508,0.5183,0.0103,поровну,0.0
ua_fam_client,Чем заходил,флаг клиента-скрапера,да,0.0,0.0,0.0,0.0153,0.0571,0.0297,0.5072,0.5209,0.0137,поровну,0.0
ua_is_client,Чем заходил,"флаг: Scrapy, curl, requests и прочие клиенты",да,0.0,0.0,0.0,0.0153,0.0571,0.0297,0.5072,0.5209,0.0137,поровну,0.0
order_match_exact_n,НОВОЕ: граф связей,партнёров с полностью совпавшим порядком,нет,0.0,0.0,0.0,0.0552,1.3111,0.0669,0.5071,0.7221,0.215,поровну,0.0
item_known_frac,Кодировка объявлений,доля объявлений с известной статистикой,да,0.8333,1.0,0.8333,0.8084,0.944,0.8188,0.507,0.7171,0.2101,к людям,0.0156
frac_item_category_bytovaya_tehnika,НОВОЕ: доли по категориям,доля событий в категории: бытовая техника,нет,0.0,0.0,0.0,0.0634,0.0733,0.0837,0.5068,0.4894,-0.0174,поровну,0.0033
ua_os_ios,Чем заходил,флаг iOS,да,0.0,0.0,0.0,0.0363,0.0063,0.0483,0.506,0.485,-0.021,поровну,0.0
start_offset_min,НОВОЕ: где кука сидит в сутках,минут от начала окна до первого события,нет,805.3083,674.3917,779.1167,781.9901,662.5089,784.9642,0.5059,0.4202,-0.0857,к людям,0.0
cnt_contact_message_sent,Сколько наследил,отправленных сообщений,да,0.0,0.0,0.0,0.1736,0.2476,0.2007,0.5058,0.5243,0.0186,поровну,0.0
first_hour,НОВОЕ: где кука сидит в сутках,час первого события,нет,13.0,11.0,12.0,12.531,10.5492,12.5613,0.5053,0.4208,-0.0845,поровну,0.0
plat_frac_ios,Чем заходил,доля событий с iOS,да,0.0,0.0,0.0,0.0543,0.0143,0.0632,0.5045,0.48,-0.0245,поровну,0.0
ua_ver,Чем заходил,номер версии браузера или клиента,да,120.0,118.0,120.0,115.5686,111.1667,114.3903,0.5038,0.4418,-0.062,к людям,0.0
frac_item_category_mebel,НОВОЕ: доли по категориям,доля событий в категории: мебель,нет,0.0,0.0,0.0,0.0685,0.0667,0.0691,0.5035,0.4842,-0.0193,поровну,0.0033
frac_item_category_rabota,НОВОЕ: доли по категориям,доля событий в категории: работа,нет,0.0,0.0,0.0,0.0645,0.0703,0.0652,0.5019,0.4843,-0.0176,поровну,0.0033
frac_item_category_kvartiry_arenda,НОВОЕ: доли по категориям,"доля событий в категории: квартиры, аренда",нет,0.0,0.0,0.0,0.0675,0.0638,0.0825,0.5019,0.4794,-0.0224,поровну,0.0033
events_per_hour,Сколько наследил,событий в час,да,0.5,1.0417,0.5,0.7029,1.4656,0.6733,0.5019,0.7349,0.2331,к людям,0.0
n_events,Сколько наследил,всего событий за сутки,да,12.0,25.0,12.0,16.869,35.1746,16.1599,0.5019,0.7349,0.2331,к людям,0.0
ua_os_linux_x11,Чем заходил,флаг десктопного Linux,да,0.0,0.0,0.0,0.0207,0.1095,0.0223,0.5008,0.5444,0.0436,поровну,0.0
created_hour,НОВОЕ: где кука сидит в сутках,час создания куки,нет,12.0,13.0,12.0,11.6739,11.9302,11.6877,0.5003,0.5108,0.0105,к людям,0.0
ts_whole_minute_frac,НОВОЕ: форма временной сетки,доля меток времени ровно на минуте,нет,0.0,0.0,0.0,0.0174,0.0178,0.0208,0.5001,0.5774,0.0773,поровну,0.0
ts_whole_second_frac,НОВОЕ: форма временной сетки,доля меток времени ровно на секунде,нет,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,,0.0
dt_round_frac,НОВОЕ: форма временной сетки,"доля пауз, равных целому числу секунд",нет,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,,0.0223
end_gap_min,НОВОЕ: где кука сидит в сутках,минут от последнего события до конца окна,нет,388.05,520.375,378.3333,464.3154,566.5756,475.9856,0.4998,0.57,0.0702,к людям,0.0
frac_item_category_uslugi,НОВОЕ: доли по категориям,доля событий в категории: услуги,нет,0.0,0.0,0.0,0.0662,0.0704,0.0784,0.4989,0.4859,-0.013,поровну,0.0033
ua_fam_safari,Чем заходил,флаг Safari,да,0.0,0.0,0.0,0.018,0.0079,0.0149,0.4985,0.495,-0.0035,поровну,0.0
ua_fam_firefox,Чем заходил,флаг Firefox,да,0.0,0.0,0.0,0.1259,0.1349,0.1227,0.4984,0.5045,0.0061,поровну,0.0
frac_item_category_odezhda,НОВОЕ: доли по категориям,доля событий в категории: одежда,нет,0.0,0.0,0.0,0.068,0.0721,0.0658,0.4975,0.4862,-0.0113,поровну,0.0033
ua_os_macos,Чем заходил,флаг macOS,да,0.0,0.0,0.0,0.1464,0.1429,0.1338,0.4937,0.4982,0.0045,поровну,0.0
frac_item_category_noutbuki,НОВОЕ: доли по категориям,доля событий в категории: ноутбуки,нет,0.0,0.0,0.0,0.066,0.0516,0.0661,0.4937,0.4694,-0.0243,поровну,0.0033
frac_item_category_elektronika,НОВОЕ: доли по категориям,доля событий в категории: электроника,нет,0.0,0.0,0.0,0.068,0.0751,0.0716,0.4934,0.4865,-0.007,поровну,0.0033
frac_item_category_hobbi,НОВОЕ: доли по категориям,доля событий в категории: хобби,нет,0.0,0.0,0.0,0.0657,0.0676,0.0672,0.4926,0.4857,-0.0069,поровну,0.0033
dt_cv,Как дышал,ровность ритма: разброс пауз к средней,да,2.064,3.04,2.0654,2.0356,2.9415,2.0035,0.4921,0.6756,0.1835,к людям,0.0574
frac_item_category_telefony,НОВОЕ: доли по категориям,доля событий в категории: телефоны,нет,0.0,0.0,0.0,0.0633,0.0682,0.0716,0.4918,0.4871,-0.0048,поровну,0.0033
dt_lag1_corr,НОВОЕ: форма временной сетки,автокорреляция пауз с лагом 1,нет,-0.1143,-0.0644,-0.1234,-0.0996,-0.0646,-0.1108,0.491,0.5982,0.1072,к людям,0.1554
cnt_search_results_view,Сколько наследил,просмотров страниц выдачи,да,4.0,9.0,3.0,5.1412,12.6571,4.9963,0.4899,0.7377,0.2478,к людям,0.0
cnt_contact_phone_show,Сколько наследил,показов телефона,да,0.0,0.0,0.0,0.6241,0.8524,0.5502,0.4897,0.5366,0.0469,поровну,0.0
n_platform_norm,Сколько наследил,разных платформ,да,1.0,2.0,1.0,1.4564,1.7143,1.4349,0.4893,0.6289,0.1397,к людям,0.0
n_sessions,Как дышал,"число сессий, разрыв больше 30 минут",да,2.0,3.0,2.0,2.9529,3.0651,2.7993,0.488,0.5267,0.0388,к людям,0.0
dt_frac_lt_1s,Сколько наследил,доля пауз короче секунды,да,0.0,0.0,0.0,0.0222,0.0166,0.0206,0.4869,0.5408,0.054,поровну,0.0223
page_step_plus1_frac,Как искал,"доля шагов, где страница выросла ровно на 1",да,0.0,0.0606,0.0,0.0942,0.0859,0.0901,0.4866,0.5271,0.0405,к людям,0.083
null_frac_item_location,НОВОЕ: пустоты в полях,доля событий без города,нет,0.0,0.0303,0.0,0.0529,0.0381,0.0449,0.4865,0.5048,0.0183,к людям,0.0
ua_fam_yabrowser,Чем заходил,флаг Яндекс.Браузера,да,0.0,0.0,0.0,0.1094,0.1222,0.0818,0.4862,0.5064,0.0202,поровну,0.0
ptr_repeat_frac,Была ли мышь,доля повторов одной и той же точки,да,0.0,0.0,0.0,0.0128,0.0161,0.0108,0.4859,0.5792,0.0933,поровну,0.6352
plat_switch_frac,Чем заходил,доля переходов со сменой платформы,да,0.0,0.3144,0.0,0.1666,0.2601,0.1546,0.4857,0.632,0.1464,к людям,0.0
frac_item_category_avtomobili,НОВОЕ: доли по категориям,доля событий в категории: автомобили,нет,0.0,0.0,0.0,0.0712,0.0681,0.0612,0.4857,0.4795,-0.0062,поровну,0.0033
plat_frac_web,Чем заходил,доля событий с платформы web,да,0.5,0.711,0.0,0.3903,0.5419,0.3642,0.4854,0.5971,0.1117,к людям,0.0
dt_p10,Как дышал,10-й процентиль пауз,да,15.1,7.0,13.9,82.3456,54.6375,47.246,0.4844,0.3486,-0.1358,к людям,0.0223
span_seconds,Сколько наследил,"от первого события до последнего, с",да,8326.5,9541.0,8338.0,11621.6687,12654.9333,10743.0112,0.4844,0.5483,0.0639,к людям,0.0
duty_cycle,НОВОЕ: где кука сидит в сутках,какую долю окна заняла активность,нет,0.0973,0.0993,0.0926,0.1349,0.1378,0.1283,0.484,0.5111,0.0272,к людям,0.0
ua_freq,Чем заходил,"частота этого user-agent в популяции, по прошлым дням",да,0.0069,0.0087,0.0063,0.0075,0.0078,0.0073,0.4839,0.5323,0.0484,к людям,0.0696
frac_item_category_zapchasti,НОВОЕ: доли по категориям,доля событий в категории: запчасти,нет,0.0,0.0,0.0,0.0699,0.0469,0.0571,0.4837,0.4671,-0.0166,поровну,0.0033
dt_frac_gt_600s,НОВОЕ: форма временной сетки,доля пауз длиннее десяти минут,нет,0.1333,0.0729,0.125,0.1591,0.1216,0.1499,0.4834,0.3892,-0.0942,к людям,0.0223
frac_item_category_zhivotnye,НОВОЕ: доли по категориям,доля событий в категории: животные,нет,0.0,0.0,0.0,0.0661,0.0651,0.0593,0.4824,0.4819,-0.0006,поровну,0.0033
dt_frac_lt_5s,Как дышал,доля пауз короче 5 секунд,да,0.0,0.0476,0.0,0.0633,0.0822,0.0585,0.4822,0.5682,0.086,к людям,0.0223
n_user_agent,Сколько наследил,разных user-agent за сутки,да,1.0,1.0,1.0,1.1358,1.1302,1.0706,0.4821,0.4963,0.0142,поровну,0.0
ua_nunique_strict,НОВОЕ: user-agent как строка,разных строк user-agent за сутки,нет,1.0,1.0,1.0,1.1358,1.1302,1.0706,0.4821,0.4963,0.0142,поровну,0.0
ua_has_mobile,НОВОЕ: user-agent как строка,флаг слова Mobile в user-agent,нет,0.0,0.0,0.0,0.2864,0.0746,0.2491,0.4813,0.3941,-0.0872,поровну,0.0
plat_frac_desktop,Чем заходил,доля событий с платформы desktop,да,0.0,0.211,0.0,0.1325,0.1851,0.1191,0.4807,0.6131,0.1324,к людям,0.0
n_event_types,НОВОЕ: состав действий,сколько разных типов событий,нет,4.0,5.0,4.0,4.5983,4.9603,4.4349,0.4799,0.5633,0.0833,к людям,0.0
n_desktop_events,НОВОЕ: мышь и платформа,событий на десктопе,нет,2.0,18.0,0.0,8.856,27.9794,7.881,0.4782,0.6967,0.2185,к людям,0.0
dt_std,Сколько наследил,разброс пауз,да,1732.92,1261.8071,1650.0917,1642.1185,1226.2164,1573.0995,0.477,0.3825,-0.0945,к людям,0.0574
ua_os_windows,Чем заходил,флаг Windows,да,0.0,0.0,0.0,0.3584,0.4254,0.3123,0.4769,0.5335,0.0566,поровну,0.0
frac_item_category_detskie_tovary,НОВОЕ: доли по категориям,доля событий в категории: детские товары,нет,0.0,0.0,0.0,0.0665,0.0686,0.0509,0.4768,0.4839,0.0071,поровну,0.0033
null_frac_item_category,НОВОЕ: пустоты в полях,доля событий без категории,нет,0.0625,0.0642,0.0526,0.0835,0.0689,0.0794,0.4767,0.5082,0.0315,к людям,0.0
n_active_hours,Сколько наследил,сколько разных часов суток задето,да,3.0,3.0,2.0,3.1325,3.3587,2.8996,0.4767,0.5515,0.0748,поровну,0.0
frac_item_category_kvartiry_prodazha,НОВОЕ: доли по категориям,"доля событий в категории: квартиры, продажа",нет,0.0,0.0,0.0,0.0653,0.0721,0.0504,0.4764,0.4834,0.0069,поровну,0.0033
dt_mean,Как дышал,"средняя пауза между действиями, с",да,657.2941,375.3312,628.25,839.4329,482.1638,752.3033,0.4745,0.3657,-0.1088,к людям,0.0223
dt_max,Как дышал,"самая длинная пауза, с",да,5893.0,6220.0,5711.0,4963.7445,5212.4714,4721.0415,0.4726,0.5149,0.0423,к людям,0.0223
null_frac_item_id,НОВОЕ: пустоты в полях,доля событий без объявления,нет,0.3333,0.3636,0.3077,0.3317,0.355,0.3084,0.4726,0.5672,0.0946,к людям,0.0
dt_p90,Как дышал,90-й процентиль пауз,да,1557.4,58.5,1362.8,2272.6787,960.2751,2166.5566,0.4713,0.2515,-0.2198,к людям,0.0223
ua_fam_chrome,Чем заходил,флаг Chrome,да,1.0,0.0,0.0,0.5407,0.4794,0.4833,0.4713,0.4693,-0.002,к пойманным ботам,0.0
hour_entropy,Как дышал,энтропия активности по часам суток,да,0.6931,0.8477,0.673,0.7764,0.8555,0.7168,0.4709,0.5428,0.0719,к людям,0.0
n_query_uniq,Сколько наследил,разных поисковых запросов,да,3.0,5.0,3.0,3.7898,5.3317,3.4164,0.4708,0.6631,0.1922,к людям,0.0
event_name_entropy,НОВОЕ: состав действий,энтропия распределения типов событий,нет,1.3057,1.1886,1.2745,1.2188,1.1994,1.1854,0.4702,0.4391,-0.0312,к людям,0.0
dt_log_std,НОВОЕ: форма временной сетки,разброс логарифма пауз,нет,1.9444,1.5158,1.9318,1.9048,1.4629,1.8038,0.467,0.3061,-0.1608,к людям,0.0574
cnt_login,Сколько наследил,входов в аккаунт,да,0.0,0.0,0.0,0.3623,0.2206,0.2528,0.4632,0.4575,-0.0057,поровну,0.0
null_frac_seller_type,НОВОЕ: пустоты в полях,доля событий без типа продавца,нет,0.3867,0.4167,0.3636,0.393,0.4105,0.364,0.4619,0.5532,0.0913,к людям,0.0
query_entropy,НОВОЕ: путь по сайту,энтропия распределения запросов,нет,1.0986,1.401,1.0776,1.1126,1.3448,1.0268,0.4618,0.5971,0.1353,к людям,0.083
order_match_best,НОВОЕ: граф связей,лучшее совпадение порядка обхода с партнёром,нет,1.0,1.0,0.6667,0.5908,0.8196,0.5111,0.4614,0.6116,0.1501,поровну,0.8964
cat_switch_frac,Что смотрел,доля переходов со сменой категории,да,0.3864,0.1333,0.3333,0.3476,0.2115,0.3094,0.46,0.361,-0.099,к людям,0.0033
cnt_photo_swipe,Сколько наследил,листаний фотографий,да,1.0,2.0,1.0,2.0694,2.219,1.7175,0.4592,0.5242,0.0649,к людям,0.0
photo_per_view,Сколько наследил,фотографий на одну карточку,да,0.2857,0.129,0.2353,0.4298,0.1816,0.349,0.4572,0.3491,-0.1081,к людям,0.0
seller_frac_private,Что смотрел,доля частных продавцов,да,0.6,0.5517,0.5455,0.5893,0.5466,0.549,0.4536,0.4384,-0.0152,к пойманным ботам,0.0219
cat_entropy,Что смотрел,энтропия распределения по категориям,да,0.6365,0.2814,0.5825,0.5838,0.3372,0.5011,0.4535,0.3516,-0.1019,к людям,0.0033
n_cat_uniq,Сколько наследил,разных категорий товаров,да,2.0,2.0,2.0,2.2812,1.6905,2.0149,0.4505,0.3697,-0.0808,поровну,0.0
cnt_favorite_add,Сколько наследил,добавлений в избранное,да,1.0,0.0,0.0,1.1104,0.7794,0.8513,0.4465,0.4356,-0.0109,к пойманным ботам,0.0
ua_n_tokens,НОВОЕ: user-agent как строка,число слов в user-agent,нет,12.0,11.0,12.0,10.6049,9.7032,9.8401,0.4465,0.4228,-0.0236,к людям,0.0
ua_len,НОВОЕ: user-agent как строка,длина строки user-agent,нет,117.0,110.0,111.0,98.8662,92.7429,91.8513,0.4433,0.4175,-0.0257,к пойманным ботам,0.0
page1_frac,НОВОЕ: путь по сайту,доля просмотров первой страницы выдачи,нет,0.4444,0.25,0.3333,0.4564,0.2889,0.3882,0.4353,0.3363,-0.0991,к пойманным ботам,0.083
events_per_item,НОВОЕ: состав действий,событий на одно объявление,нет,1.25,1.2727,1.1667,1.3058,1.3429,1.2319,0.4318,0.5498,0.118,к людям,0.0156
item_repeat_frac,Что смотрел,доля повторных обращений к тому же объявлению,да,0.2,0.2143,0.1429,0.1969,0.2225,0.1587,0.4318,0.5498,0.118,к людям,0.0156
ptr_frac,Сколько наследил,доля событий с координатами указателя,да,0.0,0.0,0.0,0.3536,0.2833,0.2229,0.4294,0.4578,0.0284,поровну,0.0
ptr_xy_nunique,Сколько наследил,"разных точек (X, Y)",да,0.0,0.0,0.0,5.7758,8.9714,2.8216,0.4292,0.4874,0.0581,поровну,0.0
ptr_x_nunique,Сколько наследил,разных значений координаты X,да,0.0,0.0,0.0,5.7298,8.3,2.7361,0.4286,0.4866,0.0579,поровну,0.0
ptr_y_std,Была ли мышь,разброс координаты Y,да,308.0727,183.7305,290.9851,300.3489,173.5637,279.5669,0.4276,0.1166,-0.311,к людям,0.6462
loc_top_frac,Что смотрел,доля самого частого города,да,0.5,0.2922,0.4167,0.5369,0.3405,0.4749,0.4276,0.266,-0.1616,к людям,0.0014
cookie_age_days,Сколько наследил,"возраст куки на конец окна, дней",да,62.7824,3.9844,43.4898,74.9084,46.2168,57.9459,0.4158,0.3425,-0.0733,к людям,0.0
created_to_window_h,НОВОЕ: где кука сидит в сутках,часов от создания куки до начала окна,нет,1482.7768,71.6244,1019.755,1773.8014,1085.204,1366.7008,0.4158,0.3425,-0.0733,к людям,0.0
dt_median,Сколько наследил,"медианная пауза между действиями, с",да,59.0,19.0,45.0,219.3301,90.5786,122.3094,0.4032,0.2206,-0.1826,к людям,0.0223
ptr_frac_on_desktop,НОВОЕ: мышь и платформа,"доля событий с мышью, только на десктопе",нет,0.9333,0.0,0.0,0.6762,0.3897,0.4613,0.3765,0.3363,-0.0402,к пойманным ботам,0.4665
ptr_x_mean,НОВОЕ: мышь и платформа,средняя координата X,нет,963.4,658.8,693.7857,955.3891,679.5627,685.1818,0.2262,0.2368,0.0106,к пойманным ботам,0.6352
ptr_x_range,НОВОЕ: мышь и платформа,размах координаты X,нет,1632.0,656.0,996.0,1457.2653,657.7487,974.0156,0.2208,0.099,-0.1218,к пойманным ботам,0.6352
ptr_dist_std,Была ли мышь,разброс расстояний между точками,да,408.0765,164.0693,264.2047,399.1086,162.9133,266.0606,0.2106,0.0596,-0.151,к пойманным ботам,0.6611
ptr_dist_mean,Была ли мышь,среднее расстояние между соседними точками,да,778.6675,324.9832,557.6576,787.6051,311.2549,563.8757,0.2026,0.0256,-0.1769,к людям,0.6462
ptr_x_std,Была ли мышь,разброс координаты X,да,552.05,179.8647,338.4179,540.9236,178.3904,341.9587,0.1712,0.0285,-0.1427,к пойманным ботам,0.6462
